Date,Time,EAR,Status,Blink Count,Sleep Events,Alarm
2026-07-14,16:31:50,0.18,SLEEPING,12,3,YES
2026-07-16,09:57:20,0.162,SLEEPING,1,1,YES
2026-07-16,09:57:22,0.143,SLEEPING,2,2,YES
2026-07-16,09:57:25,0.142,SLEEPING,4,3,YES
2026-07-16,09:57:57,0.17,SLEEPING,1,1,YES
2026-07-16,09:58:29,0.136,SLEEPING,19,2,YES
2026-07-16,09:58:36,0.099,SLEEPING,22,3,YES
2026-07-16,10:03:39,0.107,SLEEPING,0,1,YES
2026-07-16,10:03:55,0.113,SLEEPING,6,2,YES
2026-07-16,10:03:57,0.094,SLEEPING,7,3,YES
2026-07-16,10:04:01,0.115,SLEEPING,8,4,YES
2026-07-16,10:04:18,0.112,SLEEPING,12,5,YES
2026-07-16,10:04:20,0.119,SLEEPING,13,6,YES
2026-07-16,10:09:43,0.085,SLEEPING,0,1,YES
2026-07-16,10:09:57,0.092,SLEEPING,7,2,YES
2026-07-16,10:10:09,0.122,SLEEPING,2,1,YES
2026-07-16,10:10:16,0.122,SLEEPING,3,2,YES
2026-07-16,10:10:23,0.118,SLEEPING,7,3,YES
2026-07-16,10:14:21,0.176,SLEEPING,13,1,YES
2026-07-16,10:14:22,0.192,SLEEPING,14,2,YES
2026-07-16,10:14:25,0.151,SLEEPING,15,3,YES
2026-07-16,10:14:28,0.164,SLEEPING,16,4,YES
2026-07-16,10:14:34,0.184,SLEEPING,26,5,YES
2026-07-16,10:14:38,0.14,SLEEPING,28,6,YES
2026-07-16,10:14:41,0.142,SLEEPING,29,7,YES
2026-07-16,10:14:44,0.168,SLEEPING,30,8,YES
2026-07-16,10:14:48,0.096,SLEEPING,31,9,YES
2026-07-16,10:14:55,0.128,SLEEPING,1,1,YES
2026-07-16,10:14:57,0.11,SLEEPING,2,2,YES
